path	parent_sha256	successor_sha256	parent_git_mode	successor_git_mode	kind	owner	allowed_effect
pom.xml	7ddff9e29ae7297b4888fbf2efc196ce9c38072162497e4f1cebf608392ec66b	ec0d7cadf5d75cbbd8d348b816c9c527c04b79b3154773f38745bbc469f83294	100644	100644	build-contract	reactor	Add the isolated coverage reporter, JaCoCo prepare-agent profiles, and distinct UT/IT argument lines while preserving the frozen 24 production modules.
foggy-dataset-model/pom.xml	153cd7117dc1286a6ccaa15e374cd9a5749570549610c3606dc4860fe3c67ccc	a6e8194819799f3316d3597bd3a6a8de3534bd8b05208190f6512ea2314bee3e	100644	100644	build-contract	foggy-dataset-model	Add the Step 4 externally-merged coverage gate profile without changing the legacy coverage profile or runtime artifact.
foggy-dataset-demo/docker/docker-compose-v934-authority.yml	2330126a3e80b436b606c8961be59594eaf032a87ea0c7a3e227466ac72f746f	4c33389b31ab2190b8dac5b91ba80760f9efcad6f886618e040ffb733923492d	100644	100644	runner-binding	database-authority	Keep run-owned MySQL 5.7 and MySQL 8 unhealthy while the official entrypoint still owns PID 1, then require the final mysqld process and the existing database ping before any Step 4 consumer can enter fixture or callback execution.
scripts/verify-v934-unit.sh	0063629b399123d57b69b1ee794597562583c9f93347ca8d3dd965a9f1543427	15a37faf2d6deb8c4b77962a02b4cf75145a5f18334020e014f09e88e993e569	100755	100755	runner-binding	unit	Validate the inherited Step 4 parent, consume the run-owned Step 2 report view, freeze the exact 14 module-local snapshot producers with zero sibling-repository references, fail closed on ambient datasource and JVM option indirection, run and verify the pinned run-owned MySQL 5.7 fixture with lifecycle probes, and emit one canonical coverage exec/session while preserving the Unit selector, report ownership, and frozen cardinality.
scripts/verify-v934-integration.sh	911f4ee87f4a884887e940233bb053a891faffe702248a8d8499f59fab06c8cd	19d5a9e8d58a554f416e269a35666e439b5f611f44a50783482613316cb33639	100755	100755	runner-binding	integration	Validate the inherited Step 4 parent, consume the run-owned Step 2 report view, and emit six canonical coverage exec/session files while preserving all Failsafe variants and selectors.
scripts/verify-v934-step3-required-matrix.sh	389824581c500629b4783920fb90dffb7ee857570e94434eb203f586e3fa4de8	afbf5de027d6733258c1ad5e8bf95b8954cf8ff3f926be0864fd0b88b550867a	100644	100755	runner-binding	step3-required	Select the Step 4 successor required contract and report adapter, validate the successor overlay and inherited Step 4 parent, and preserve the exact 45-report/446-node union.
scripts/verify-v934-database-matrix.sh	82abd628f3c59d6a1554e7ec67925e03260f5eb096dce5d1a0bfe072f62b8c8c	dc62d869aa38db19bdb39c806d9de58186d1524b6a1277be25fb6f60e9803c0a	100644	100755	runner-binding	database-matrix	Select the Step 4 database successor and state adapter and emit seven canonical coverage exec/session files while preserving the 29-report/370-node database matrix.
scripts/verify-v934-external-matrix.sh	b4ad164a09dd256118261f4a22d35a46ea7531f71bdbb822ae3992495084227a	f935683ad8cfbf79266ba7912223c8c511511f6c045d95d0988e5f3d8895ad91	100755	100755	runner-binding	external-matrix	Select the Step 4 external successor and wrapper while preserving the exact seven-variant 16-report/76-node matrix.
scripts/verify-v934-external-redis.sh	a60f7655ba6fb4dd5aaa9a7390443283acc9c2c824598e233a24e7faa89a0eb3	36202233752f01eb61fac4ddd9a65dbecd5904af901eaa7377e8885a78ed8db5	100755	100755	runner-binding	external-redis	Select the external successor, emit the Redis coverage exec, and configure exact child-JVM coverage sessions without changing its selector or one-node report contract.
scripts/verify-v934-external-mongo.sh	87ff774fb9db643628cb9e12c3dd1245e75fe6b544c13c01d3aa1b8588f092c4	9d99b71c6bd2e3c7a29187e9c0b453af18f30399b683457889c7d68924834c55	100755	100755	runner-binding	external-mongo	Select the external successor and emit the Mongo coverage exec while preserving the frozen selectors and report totals.
scripts/verify-v934-external-mysql.sh	197b5ec511a1caa76a7d9ca4bf43a3fe29fb38d9d66af486046bf63e361c9adb	5d62435ec31e47b71f6134a0bda11d6e51f86a0fa1f7b44390f384aaaf8cf264	100755	100755	runner-binding	external-mysql	Select the external successor and emit the three MySQL coverage exec files while preserving the frozen selectors and report totals.
scripts/verify-v934-external-vector.sh	3d043d7a19567df9d1aafa6815c3773037888f5bcbcdb222109cebb8f229af15	c13f943848045d86175ee776e66cb74a2fd45add2c0895592c5aa59a24a2baaf	100755	100755	runner-binding	external-vector	Select the external successor and emit the Vector coverage exec while preserving the frozen selectors and report totals.
scripts/verify-v934-preagg-addon-lifecycle.sh	26b8848a6faabf9eb36454c48ad22790b37024ab4e7d4d68b01398b68f88c351	7c5020dc8af9328a0b70cc7933df3b01b7574bbfd21ecb9458c20c99ac2c9ac8	100644	100755	runner-binding	preagg-addon	Select the Step 4 Addon successor and emit two companion coverage exec files while preserving the 2-report/6-node lifecycle contract.
scripts/v934/step3/database_state_probe_callback.sh	3f8b28da2d83f9dadb439e49f56140ced8da47133e4347af81debd6323118402	3f8b28da2d83f9dadb439e49f56140ced8da47133e4347af81debd6323118402	100644	100755	mode-amendment	database-authority	Promote the frozen database authority callback to executable Git mode without changing its bytes or runtime contract.
scripts/v934/step3/provision-database-cell.sh	74d00d79628b0df9d438f1623d53e2617cc73c01c74a91a2c21cccdf2ea884e6	74d00d79628b0df9d438f1623d53e2617cc73c01c74a91a2c21cccdf2ea884e6	100644	100755	mode-amendment	database-authority	Promote the frozen database cell provisioner to executable Git mode without changing its bytes or runtime contract.
addons/foggy-dataset-model-cache/src/test/java/com/foggyframework/dataset/db/model/cache/provider/RedisCrossJvmCacheIT.java	f85a5b3001db237715bda4c60bc21ee250ad744fa4e4f2af4e81965a7e85c727	9012366deef15e2d8ad97bcf5e6ee7a9461eb76c6a6570efcac8e390962278c7	100644	100644	source-amendment	external-redis	Propagate the reviewed JaCoCo child-agent destination and two exact child session IDs without changing test identity or cardinality.
foggy-dataset/src/test/resources/application.yml	4b06df10eda98ac530639a776e25104ce93aef595d744466bfbdd2c62e40305f	9500cd4d50930b121a36798857cd0a1cc0c8b2190b0a2fc9ad0ea464394bb256	100644	100644	source-amendment	unit	Scope the run-owned MySQL 5.7 credential override to the foggy-dataset test resource while preserving profile-specific datasources, default developer credentials, test identity, and cardinality.
foggy-dataset/src/main/java/com/foggyframework/dataset/utils/DataSourceFactory.java	8bda27859211cd3b9215847179733089c147cf8be4d821034e2bb3b268d24d27	3bdba4e3dbe4e136157a2178f4df9f0aef0661e07882c5e6e1ef3abca05fbf37	100644	100644	source-amendment	database-authority	Fail closed when a configured datasource adapter class is missing or invalid while preserving the existing datasource selection contract.
foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/preagg/PreAggregationEdgeCaseTest.java	e8418e3269f28d7cff2ec4253bc0f51f2d08a877eba938ab798540054e961ddc	ef08f3f7ea2f1956376635eb93f0dd7f629db177816f8dffd22634bf2192252e	100644	100644	source-amendment	unit	Make three snapshot-only fixtures explicitly disable hybrid fail-closed matching; report identity remains exact and successor cardinality is governed separately by the Step 4 report amendment.
foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/preagg/PreAggregationDataValidationTest.java	ddfc5cd7fc492ad7a8d850eb33b70bb26ccffd4717ebf57078e04dd71671c4b2	affb6e415c1770eae7c9ab6f3505ac67acfe03eac1461bd2a48addf3ee790623	100644	100644	source-amendment	unit	Harden validation fixtures to reject nullable or empty raw/pre-aggregation results and assert the selected pre-aggregation table; report identity and cardinality remain exact under the Step 4 report amendment.
foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/preagg/PreAggregationL2CacheIT.java	2b34dfb5c33b041c8404981c138c79a61a7f6ab5cdc88f365a43f4618c974111	bb5d6884401579447382587861e197feac2884ab701065d7826fe7a676e0c313	100644	100644	source-amendment	integration	Make the L2 identity fixture select the complete daily-product snapshot and reject raw-SQL fallback; report identity and cardinality remain exact under the Step 4 report amendment.
foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIT.java	dd8a9052917c480bcc983bcc56ea3e15469d6362578798690adbcb817ba9ae64	00c664f3745b9c57eadd947d85eeef73f8662c30cc6b2ad23ff2031b0441533d	100644	100644	source-amendment	database-matrix	Replace the wall-clock TTL expiry oracle with a controlled-time wrapper that delegates to the real local provider, preserving existing report identity, database-matrix variants, and 55 testcase nodes.
